token,docIds
simply,[1 2 3 4]
bowed,[1 3 4]
solemn,[1 3 4]
caused,[1 2 3 4]
noise,[1 4]
confusion,[1 2 4 5]
complained,[1 4]
theirs,[1 2 4]
ones,[1 2 3 4 5]
choked,[1]
patted,[1]
begged,[1 2 3 4]
promised,[1 2 3 4]
c,[1 2 3 4 5]
added,[1 2 3 4]
whisper,[1 4]
sad,[1 2 3 4]
sighing,[1]
call,[1 2 3 4 5]
fury,[1 3]
met,[1 2 3 4 5]
both,[1 2 3 4 5]
law,[1 2 3 4 5]
prosecute,[1]
denial,[1 4]
trial,[1 2 4]
cur,[1]
jury,[1]
judge,[1 2 3 4 5]
wasting,[1 3 4]
breath,[1 3 4]
cunning,[1 3 4]
condemn,[1 2 4]
death,[1 2 3 4]
attending,[1 2 3 4]
humbly,[1]
fifth,[1 3 4]
bend,[1]
_not,[1]
angrily,[1 3 4]
knot,[1]
undo,[1 4]
insult,[1 3]
mean,[1 2 3 4 5]
pleaded,[1 4]
easily,[1 2 3 4 5]
growled,[1]
reply,[1 2 4]
finish,[1 2 4 5]
others,[1 2 3 4 5]
joined,[1 2 4]
shook,[1 2 4 5]
impatiently,[1 2 4]
quicker,[1]
pity,[1 2 3 4]
sighed,[1 3 4]
crab,[1]
daughter,[1 2 3 4]
lose,[1 2 4 5]
_your_,[1 4]
temper,[1 2 4]
tongue,[1 4]
young,[1 2 3 4 5]
snappishly,[1]
patience,[1 2 4 5]
oyster,[1]
addressing,[1 4]
nobody,[1 4 5]
particular,[1 3 4 5]
venture,[1 3 4]
pet,[1]
bird,[1 3]
sensation,[1 2 4]
magpie,[1]
wrapping,[1]
carefully,[1 2 3 4]
remarking,[1]
suit,[1 3 4]
throat,[1 2 4]
canary,[1]
bed,[1 2 3 4 5]
various,[1 2 3 4 5]
pretexts,[1]
moved,[1 3 4]
mentioned,[1 2 3 4]
lonely,[1 2 3]
spirited,[1 4]
footsteps,[1 3]
executed,[1 3 4]
ferrets,[1]
guessed,[1 2 4]
naturedly,[1 4]
hunting,[1 4]
nowhere,[1 3 4]
since,[1 2 3 4 5]
swim,[1 2 3]
vanished,[1 2 3 4]
completely,[1 2 4]
mary,[1 2 3 4 5]
ann,[1]
_are_,[1 4]
doing,[1 2 3 4 5]
run,[1 2 3 4 5]
quick,[1 2 3 4]
direction,[1 2 3 4 5]
pointed,[1 3 4]
mistake,[1 2 4]
housemaid,[1 4]
finds,[1 4]
neat,[1 4]
brass,[1]
plate,[1 3 4]
w,[1 2 3 4]
engraved,[1]
knocking,[1]
upstairs,[1 5]
lest,[1 2 3 4]
real,[1 2 4 5]
messages,[1 4]
fancying,[1 2 4]
directly,[1 3 4 5]
ordering,[1]
tidy,[1]
room,[1 2 3 4 5]
window,[1 2 4 5]
hoped,[1 2 3 4]
pairs,[1]
stood,[1 2 3 4 5]
nevertheless,[1 2 3]
uncorked,[1]
lips,[1 2 4]
_something_,[1]
interesting,[1 2 4 5]
whenever,[1 2 3 4 5]
does,[1 2 3 4 5]
expected,[1 2 3 4]
drunk,[1 2]
pressing,[1 3 4]
ceiling,[1]
stoop,[1]
save,[1 2 3 4 5]
broken,[1 2 3 4 5]
kneel,[1 2]
floor,[1 3 5]
effect,[1 2 3 4]
elbow,[1 3]
arm,[1 3 4]
curled,[1 3]
resource,[1 2 4]
chimney,[1 2 4]
whatever,[1 3 4]
become,[1 2 3 4]
magic,[1 2 3]
full,[1 2 3 4 5]
grew,[1 2 3 4]
chance,[1 2 3 4]
unhappy,[1 2 3 4]
pleasanter,[1 3 4]
wasn,[1 5]
ordered,[1 3 4]
rabbits,[1]
gone,[1 2 3 4 5]
fairy,[1]
tales,[1 2]
fancied,[1 4]
write,[1 2 4 5]
grown,[1 2 4]
least,[1 2 3 4 5]
_here_,[1 4]
comfort,[1 2 3 4 5]
woman,[1 2 3 4 5]
shouldn,[1]
foolish,[1 4 5]
answered,[1 3 4]
books,[1 2 4]
taking,[1 3 4]
outside,[1 3 4 5]
stopped,[1 2 4 5]
trembled,[1 2 4]
forgetting,[1 4]
reason,[1 2 3 4 5]
inwards,[1]
attempt,[1 2 4]
proved,[1 2 3 4]
failure,[1 2 3 4]
snatch,[1]
shriek,[1 5]
crash,[1 2]
concluded,[1 2 3 4]
possible,[1 2 3 4 5]
cucumber,[1 4]
frame,[1 2 4]
pat,[1]
apples,[1]
yer,[1]
honour,[1 2 4]
_this,[1]
sounds,[1 2 3 4]
pronounced,[1 4 5]
arrum,[1]
goose,[1 5]
fills,[1 2]
business,[1 2 3 4 5]
whispers,[1]
coward,[1 3]
_two_,[1 4]
shrieks,[1]
frames,[1]
pulling,[1]
_could,[1 3]
hearing,[1 2 3 4]
rumbling,[1]
cartwheels,[1]
together,[1 2 3 4 5]
ladder,[1]
lad,[1 4]
em,[1]
tie,[1 3 5]
rope,[1 3 5]
bear,[1 2 3 4]
loose,[1 2 3 4 5]
slate,[1]
below,[1 2 3 4 5]
loud,[1 2 3 4]
nay,[1 2 4]
master,[1 2 3 4]
shy,[1 4]
place,[1 2 3 4 5]
fireplace,[1 4]
_think_,[1]
kick,[1]
drew,[1 2 3 4]
scratching,[1]
scrambling,[1]
above,[1 2 3 4]
sharp,[1 3 4]
brandy,[1 2]
choke,[1]
fellow,[1 2 3 4]
feeble,[1]
squeaking,[1]
thank,[1 2 3 4]
ye,[1 2 3]
flustered,[1]
comes,[1 3 4 5]
jack,[1]
sky,[1 2]
rocket,[1]
dead,[1 2 3 4 5]
instantly,[1 2 4]
sense,[1 2 3 4 5]
moving,[1 4 5]
barrowful,[1]
_what,[1 3]
doubt,[1 2 3 4]
shower,[1 2]
pebbles,[1]
rattling,[1]
hit,[1]
shouted,[1 3]
surprise,[1 2 4 5]
cakes,[1]
lay,[1 2 3 4 5]
_some_,[1 4]
swallowed,[1 2 3 4]
delighted,[1 2 4]
crowd,[1 2 3 4]
lizard,[1]
held,[1 2 3 4]
guinea,[1 4]
pigs,[1 4]
giving,[1 2 3 4]
rush,[1 2 3 5]
appeared,[1 2 3 4]
safe,[1 2 3 4 5]
thick,[1 2]
wood,[1 2 3 4]
wandered,[1 2 3 4]
plan,[1 2 3 4]
excellent,[1 2 3 4]
arranged,[1 3 4 5]
difficulty,[1 2 4]
smallest,[1 4]
peering,[1]
trees,[1 2 4 5]
bark,[1 3]
enormous,[1 3]
puppy,[1]
feebly,[1 3]
stretching,[1 3 4]
paw,[1]
touch,[1 3]
coaxing,[1]
whistle,[1]
terribly,[1]
hungry,[1 2]
spite,[1 2 4 5]
picked,[1 2]
stick,[1]
whereupon,[1]
yelp,[1]
rushed,[1 2 4]
worry,[1]
dodged,[1]
thistle,[1]
keep,[1 2 3 4 5]
tumbled,[1]
heels,[1]
cart,[1]
horse,[1 3 4]
trampled,[1]
series,[1 2]
charges,[1 3 4 5]
forwards,[1 4]
each,[1 2 3 4 5]
barking,[1]
hoarsely,[1]
mouth,[1 3 4]
faint,[1 2 3 4 5]
leant,[1]
buttercup,[1]
fanned,[1 3]
teaching,[1 4]
tricks,[1 4]
blades,[1]
grass,[1 2]
circumstances,[1 2 3 4]
mushroom,[1]
height,[1 2 3 4 5]
stretched,[1 2 3 4]
tiptoe,[1]
edge,[1 3 4]
immediately,[1 2 3 4]
blue,[1 2 4]
arms,[1 2 3 5]
folded,[1 4]
quietly,[1 4 5]
smoking,[1]
hookah,[1]
addressed,[1 2 3 4]
languid,[1]
_you,[1]
encouraging,[1 2 4]
shyly,[1]
present,[1 2 3 4]
sternly,[1]
_myself_,[1 4]
clearly,[1 3 4 5]
sizes,[1]
confusing,[1]
isn,[1 5]
haven,[1 3 5]
turn,[1 2 3 4 5]
chrysalis,[1]
butterfly,[1]
_me_,[1 4]
contemptuously,[1 4]
brought,[1 2 3 4]
irritated,[1 4]
remarks,[1 3 4]
state,[1 2 3 4 5]
promising,[1 2 4]
swallowing,[1]
anger,[1 3 4]
wait,[1 2 3 4 5]
puffed,[1 4]
unfolded,[1 2 4]
busy,[1 2 4]
bee,[1]
father,[1 2 3 4]
william_,[1]
man,[1 2 3 4 5]
incessantly,[1 2 4]
stand,[1 2 3 4 5]
youth,[1 2 3 4]
son,[1 2 3 4]
feared,[1 2 3 4]
injure,[1 3 4]
brain,[1 2 4]
perfectly,[1 2 4]
none,[1 2 3 4]
uncommonly,[1 2 4]
fat,[1 4]
somersault,[1 5]
pray,[1 3 4]
sage,[1]
grey,[1 2]
limbs,[1 2 3]
supple,[1]
ointment,[1]
shilling,[1]
sell,[1 4]
couple,[1 4]
weak,[1 2 4]
tougher,[1]
suet,[1]
bones,[1 2]
beak,[1]
argued,[1 4]
wife,[1 2 3 4]
muscular,[1]
strength,[1 2 3 4 5]
jaw,[1]
lasted,[1 2 4]
steady,[1 2 4]
balanced,[1]
eel,[1]
nose,[1 3 4]
awfully,[1 5]
clever,[1 2 3 4 5]
questions,[1 2 3 4 5]
airs,[1 4]
stuff,[1]
_quite_,[1]
timidly,[1]
altered,[1 2 3 4]
decidedly,[1 2 4]
changing,[1 3 4]
often,[1 2 3 4 5]
_don,[1]
t_,[1 3]
contradicted,[1 4]
losing,[1 4]
content,[1 2 4]
_little_,[1 4]
wretched,[1 2 3 4]
rearing,[1]
upright,[1 2 3]
piteous,[1]
patiently,[1 2]
chose,[1 3 4]
yawned,[1 4]
crawled,[1]
merely,[1 2 4]
taller,[1 4]
shorter,[1 3 4]
thoughtfully,[1]
difficult,[1 2 3 4]
broke,[1 2 3 4]
nibbled,[1]
violent,[1 2 3 4]
blow,[1 2 3 4]
closely,[1 2 3 4]
swallow,[1 2 3]
morsel,[1]
lefthand,[1]
free,[1 2 3 4 5]
alarm,[1 2 3 4]
immense,[1 2]
length,[1 2 3 4]
rise,[1 2 3 4]
stalk,[1]
green,[1 4 5]
_have_,[1 4]
result,[1 2 4]
follow,[1 2 3 4 5]
shaking,[1 4]
distant,[1 2 4]
serpent,[1 2 3]
succeeded,[1 2 3 4]
curving,[1]
graceful,[1 4]
zigzag,[1]
dive,[1]
tops,[1]
wandering,[1 2 4]
hiss,[1]
draw,[1 2 4]
pigeon,[1]
flown,[1]
beating,[1]
wings,[1]
screamed,[1]
indignantly,[1]
repeated,[1 2 4 5]
subdued,[1 5]
sob,[1]
roots,[1]
banks,[1 2 4]
hedges,[1 2 5]
serpents,[1 3]
pleasing,[1 3 4]
puzzled,[1 4]
hatching,[1]
eggs,[1]
sleep,[1 2 3 4 5]
weeks,[1 2 4 5]
sorry,[1 2 4]
annoyed,[1 4]
taken,[1 2 3 4 5]
highest,[1 2 4]
tree,[1 2]
raising,[1 2 3 4]
needs,[1 3]
wriggling,[1]
invent,[1 4]
doubtfully,[1]
changes,[1 2 3 4 5]
deepest,[1 2 4]
contempt,[1 2 4]
girls,[1 4]
denying,[1 4]
telling,[1 3 4 5]
tasted,[1 3]
egg,[1]
truthful,[1 3]
silent,[1 2 3 4]
adding,[1 4]
matters,[1 2 3 4]
_yours_,[1 4]
raw,[1]
settled,[1 2 4]
nest,[1 3]
crouched,[1]
entangled,[1]
branches,[1 2]
untwist,[1]
pieces,[1 3 4]
nibbling,[1]
bringing,[1 2 3 4]
beautiful,[1 2 3 4 5]
whoever,[1 3]
lives,[1 2 3 4]
_this_,[1 4]
frighten,[1 4 5]
wits,[1 4]
righthand,[1]
footman,[1 4]
livery,[1 4]
considered,[1 2 4]
otherwise,[1 2 3 4 5]
judging,[1 4]
fish,[1 4]
rapped,[1]
loudly,[1 4]
knuckles,[1]
footmen,[1]
powdered,[1]
crept,[1 2]
producing,[1]
letter,[1 2 3 4 5]
invitation,[1 4]
order,[1 2 3 4 5]
curls,[1]
laughed,[1 2 4 5]
staring,[1]
stupidly,[1]
knocked,[1]
reasons,[1 4]
secondly,[1 4]
inside,[1 3]
extraordinary,[1 2 4]
within,[1 2 3 4 5]
constant,[1 2 3 4 5]
howling,[1 3]
sneezing,[1]
dish,[1 4]
kettle,[1]
between,[1 2 3 4]
instance,[1 2 3 4]
_inside_,[1]
knock,[1]
uncivil,[1 4]
remarked,[1 2 4]
tomorrow,[1 2]
skimming,[1]
grazed,[1]
maybe,[1]
louder,[1 3 4]
told,[1 2 3 4 5]
dreadful,[1 4]
muttered,[1 2 3]
argue,[1 3]
drive,[1 2 3 4]
crazy,[1]
repeating,[1 4]
remark,[1 2 4]
variations,[1]
days,[1 2 3 4 5]
whistling,[1]
desperately,[1 2]
idiotic,[1]
kitchen,[1 2 4]
smoke,[1 3]
stool,[1]
nursing,[1 3 4]
baby,[1 5]
cook,[1 4]
leaning,[1 4]
stirring,[1 3 4]
cauldron,[1]
soup,[1 2 4]
sneezed,[1]
occasionally,[1 3 4 5]
alternately,[1]
pause,[1 2 3 4]
sneeze,[1]
hearth,[1 3 4]
grinning,[1]
ear,[1 2 3 4]
manners,[1 2 4]
grins,[1]
cheshire,[1]
violence,[1 2 3 4]
courage,[1 2 3 4]
grinned,[1]
_could_,[1 3 4]
pleased,[1 2 3 4 5]
introduce,[1 2 4]
fix,[1 2 3 4 5]
throwing,[1 2 4]
irons,[1 3]
saucepans,[1]
plates,[1]
dishes,[1 3 4]
already,[1 2 3 4 5]
blows,[1 3]
_please_,[1]
jumping,[1 4]
agony,[1 2 3 4]
terror,[1 2 3 5]
_precious_,[1]
unusually,[1]
saucepan,[1]
flew,[1 4]
carried,[1 2 3 4 5]
everybody,[1 2 4]
minded,[1 2 3 4]
growl,[1]
faster,[1 3 5]
advantage,[1 2 3 4]
takes,[1 2 3 4 5]
hours,[1 2 3 4 5]
axis,[1]
axes,[1]
chop,[1]
glanced,[1 3]
meant,[1 2 3 4 5]
hint,[1 4]
busily,[1 4]
bother,[1]
abide,[1 3 4 5]
figures,[1 2 3 4 5]
singing,[1 4]
lullaby,[1]
shake,[1 2 4 5]
line,[1 2 3 4 5]
roughly,[1]
boy,[1 2 4]
beat,[1 2 3]
sneezes,[1]
annoy,[1]
teases,[1]
wow,[1]
sang,[1 3 4]
verse,[1 3]
song,[1 3 4]
tossing,[1 3]
howled,[1]
thoroughly,[1 3 4]
enjoy,[1 2 3 4 5]
pleases,[1 4 5]
flinging,[1 3]
threw,[1 2 4]
frying,[1]
pan,[1 3]
missed,[1 2 3 4]
caught,[1 2 3 4 5]
shaped,[1 3]
creature,[1 2 3 4]
star,[1]
snorting,[1]
steam,[1]
engine,[1]
doubling,[1]
straightening,[1]
proper,[1 3 4 5]
twist,[1 3]
tight,[1]
prevent,[1 2 3 4 5]
undoing,[1]
kill,[1 2 3 4]
murder,[1 2 3]
grunted,[1]
grunt,[1]
expressing,[1 4]
snout,[1]
also,[1 2 3 4 5]
extremely,[1 2 4]
sobbing,[1]
seriously,[1 3 4 5]
sobbed,[1]
_no_,[1]
neither,[1 2 3 4]
less,[1 2 3 4 5]
carry,[1 2 3 4 5]
relieved,[1 2 4]
trot,[1]
dreadfully,[1 2 4 5]
ugly,[1 2 4]
handsome,[1 3 4]
startled,[1 2 4]
seeing,[1 2 3 4]
bough,[1]
yards,[1 2 3 4 5]
natured,[1 4]
teeth,[1 2 3 4 5]
treated,[1 2 3 4]
respect,[1 2 3 4]
puss,[1]
wider,[1]
depends,[1 3 4 5]
_somewhere_,[1]
explanation,[1 2 3 4 5]
denied,[1 3 4]
waving,[1]
hatter,[1]
march,[1 2 3 4]
hare,[1]
visit,[1 2 3 4 5]
grant,[1 3]
growls,[1]
wags,[1]
wag,[1]
therefore,[1 2 3 4]
growling,[1]
invited,[1 4]
happening,[1 2 4]
became,[1 2 3 4]
appear,[1 2 3 4 5]
hatters,[1]
raving,[1]
branch,[1 2 3 4]
fig,[1]
appearing,[1 3 4 5]
vanishing,[1]
giddy,[1]
ending,[1 3]
farther,[1 2 3 4]
chimneys,[1]
thatched,[1]
raised,[1 2 3 4]
towards,[1 2 3 4]
instead,[1 2 3 4 5]
front,[1 3 4 5]
dormouse,[1]
fast,[1 2 3 4 5]
asleep,[1 3 5]
cushion,[1]
resting,[1]
elbows,[1]
_plenty_,[1]
chair,[1 4 5]
wine,[1 3 4 5]
civil,[1 4]
laid,[1 3 4 5]
wants,[1 3 4]
cutting,[1 4]
personal,[1 2 4]
severity,[1 2 4]
rude,[1 2 4]
wide,[1 2 3 4 5]
_said_,[1]
raven,[1 3]
writing,[1 3 4 5]
desk,[1]
fun,[1 4 5]
riddles,[1]
breathe,[1 2]
ravens,[1]
desks,[1]
break,[1 2 3 4 5]
month,[1 2 4]
uneasily,[1]
fourth,[1 3 4 5]
butter,[1]
works,[1 2 3 4 5]
_best_,[1]
meekly,[1]
crumbs,[1]
grumbled,[1]
bread,[1]
gloomily,[1 2 5]
cup,[1 2 3 4]
shoulder,[1 3 5]
tells,[1 3 4]
clock,[1 2 4]
year,[1 2 3 4]
readily,[1 4]
stays,[1 4]
_mine_,[1 4]
poured,[1 2 3 4]
riddle,[1]
slightest,[1 2 4]
wearily,[1]
waste,[1 2 4]
answers,[1 2 3 4]
_him_,[1 4]
cautiously,[1]
music,[1 2 3 4]
accounts,[1 2 4]
twinkling,[1]
mournfully,[1 2 3]
quarrelled,[1]
_he_,[1 2 3 4]
spoon,[1]
concert,[1]
given,[1 2 3 4 5]
hearts,[1 2 3]
sing,[1 3 4]
twinkle,[1]
fly,[1 2 3]
tray,[1]
_twinkle,[1]
twinkle_,[1]
pinch,[1]
bawled,[1]
murdering,[1]
exclaimed,[1 2 4]
mournful,[1 2 3]
sigh,[1 2 4]
wash,[1]
whiles,[1]
interrupted,[1 2 3 4]
yawning,[1 3 4]
vote,[1]
lady,[1 2 3 4]
alarmed,[1 2 4]
proposal,[1 4]
wake,[1 5]
pinched,[1]
fellows,[1 2 3 4]
sisters,[1 4]
names,[1 2 3 4]
elsie,[1]
lacie,[1]
tillie,[1]
lived,[1 2 3 4]
bottom,[1 2 3 4 5]
interest,[1 2 3 4]
eating,[1 3 4]
drinking,[1 3 4]
treacle,[1]
ill,[1 2 3 4]
ways,[1 2 3 4 5]
living,[1 2 3 4 5]
_less_,[1]
_more_,[1 4]
opinion,[1 2 3 4]
triumphantly,[1 4]
helped,[1 3]
sh,[1]
sulkily,[1]
interrupt,[1 2 3 4]
consented,[1 2 4]
learning,[1 2 4]
promise,[1 2 3 4]
clean,[1 5]
unwillingly,[1 3 4]
upset,[1]
jug,[1]
offend,[1 4]
eh,[1]
_in_,[1 3]
choosing,[1 4]
interrupting,[1 4]
rubbing,[1 2]
manner,[1 2 3 4 5]
begins,[1 3 4]
closed,[1 2 3 4]
doze,[1]
woke,[1 3 5]
traps,[1]
moon,[1 2 3 5]
memory,[1 2 3 4]
muchness,[1]
drawing,[1 2 4]
rudeness,[1 4]
disgust,[1 2 4]
teapot,[1]
_there_,[1 4]
stupidest,[1]
leading,[1 4]
today,[1 2]
unlocking,[1]
_then_,[1 4]
flower,[1 3]
rose,[1 2 3 4]
entrance,[1 3 4]
roses,[1 2 4 5]
gardeners,[1 5]
painting,[1]
paint,[1 4 5]
jogged,[1]
blame,[1 2 4 5]
d_,[1]
deserved,[1 4]
beheaded,[1]
spoken,[1 2 3 4]
tulip,[1]
onions,[1]
flung,[1 3]
brush,[1]
unjust,[1 2 4]
chanced,[1 2 3 4]
watching,[1 2 3 4 5]
checked,[1 2 4]
_red_,[1]
afore,[1]
themselves,[1 2 3 4 5]
flat,[1 4]
faces,[1 2 3 4]
eager,[1 2 3 4]
soldiers,[1 3 4]
carrying,[1 3 4]
clubs,[1]
oblong,[1]
corners,[1]
courtiers,[1 3]
ornamented,[1]
diamonds,[1]
royal,[1 3]
merrily,[1 5]
couples,[1 4]
guests,[1 3 4]
mostly,[1 4]
kings,[1 3]
queens,[1 3]
recognised,[1]
noticing,[1 4]
knave,[1]
king,[1 2 3 4]
crimson,[1]
velvet,[1 5]
procession,[1]
doubtful,[1 2 3 4]
lie,[1 2 3 4 5]
rule,[1 2 3 4]
processions,[1]
opposite,[1 2 3 4]
smiled,[1 2 4]
idiot,[1]
majesty,[1]
pack,[1 4]
cards,[1 4]
needn,[1]
_these,[1]
pattern,[1 5]
backs,[1]
glaring,[1 2]
beast,[1 3]
consider,[1 2 3 4]
bowing,[1 3 4]
humble,[1 4]
knee,[1]
meanwhile,[1 2 4]
examining,[1 2 4]
remaining,[1 2 3 4 5]
execute,[1 2]
unfortunate,[1 2 3 4]
protection,[1 2 3 4]
pot,[1]
marched,[1]
evidently,[1 2 4]
roared,[1]
fine,[1 2 3 4]
peeping,[1]
hush,[1]
whispered,[1 4]
execution,[1 2 4]
boxed,[1]
scream,[1]
laughter,[1 2 3 4]
places,[1 2 3 4 5]
thunder,[1 2]
ridges,[1]
furrows,[1]
balls,[1 4]
hedgehogs,[1]
mallets,[1]
flamingoes,[1]
double,[1 2 3 4]
arches,[1 3]
chief,[1 2 3 4 5]
managing,[1]
flamingo,[1]
body,[1 2 3 4 5]
tucked,[1]
comfortably,[1 4]
straightened,[1]
hedgehog,[1]
expression,[1 2 3 4 5]
bursting,[1 3]
laughing,[1 2 3 4]
provoking,[1 4 5]
unrolled,[1]
act,[1 2 3 4]
crawling,[1 2 5]
ridge,[1 4]
furrow,[1]
send,[1 3 4 5]
doubled,[1 4]
players,[1 4]
played,[1 4]
turns,[1 2 3 4 5]
quarrelling,[1 4]
fighting,[1 3 4]
furious,[1 3]
stamping,[1]
shouting,[1 3]
uneasy,[1 2 4]
dispute,[1 2 3 4]
beheading,[1]
alive,[1 2 3 4 5]
appearance,[1 2 3 4]
nodded,[1]
account,[1 2 3 4 5]
someone,[1 2 4]
fairly,[1 4 5]
complaining,[1 4]
quarrel,[1 3 4]
oneself,[1]
attends,[1 2]
arch,[1 3 4]
croqueted,[1]
win,[1 3 4]
finishing,[1 4]
friend,[1 2 3 4 5]
kiss,[1 2 4]
likes,[1 3 4]
impertinent,[1 2 4]
removed,[1 2 3 4 5]
passing,[1 2 3 4]
settling,[1 4]
difficulties,[1 2]
executioner,[1]
screaming,[1]
search,[1 2 3 4 5]
engaged,[1 2 3 4]
fight,[1 3 4]
croqueting,[1]
helpless,[1 2 3]
collected,[1 2 4]
appealed,[1]
settle,[1 3 4]
arguments,[1 2 4]
unless,[1 2 3 4 5]
_his_,[1 4]
weren,[1]
anxious,[1 2 3 4]
_her_,[1 4]
prison,[1 2 3]
arrow,[1 3]
fading,[1]
entirely,[1 2 3 4]
disappeared,[1 2]
wildly,[1 3]
affectionately,[1 4]
pleasant,[1 2 3 4 5]
hopeful,[1]
_at,[1]
all_,[1]
tempered,[1 4]
vinegar,[1]
sour,[1 4]
camomile,[1]
bitter,[1 2 3 4]
barley,[1]
sugar,[1]
sweet,[1 2 3 4]
stingy,[1]
forget,[1 2 4]
moral,[1 2 4]
hasn,[1]
tut,[1]
squeezed,[1]
closer,[1 2 4 5]
keeping,[1 2 3 4 5]
uncomfortably,[1]
bore,[1 2 3 4]
tis,[1 3 4]
love,[1 2 3 4]
minding,[1]
morals,[1]
waist,[1]
experiment,[1]
bite,[1 3]
mustard,[1]
feather,[1 4]
flock,[1 3]
mineral,[1]
agree,[1 2 3 4 5]
yours,[1 2 3 4 5]
attended,[1 2 4]
vegetable,[1]
imagine,[1 2 3 4 5]
cheap,[1 4]
birthday,[1]
dig,[1]
worried,[1]
died,[1 2 4]
favourite,[1 2 4]
linked,[1 3 4 5]
hers,[1 2 4]
tremble,[1 2 4]
thunderstorm,[1 2]
fair,[1 2 3 4]
warning,[1]
choice,[1 4]
absence,[1 2 4]
shade,[1 2 3 4 5]
delay,[1 2 3 4]
whom,[1 2 3 4 5]
sentenced,[1]
custody,[1 4]
frankenstein,[2]
wollstonecraft,[2]
godwin,[2]
shelley,[2]
net,[2 3 4]
modern,[2 3 4]
prometheus,[2]
17,[2 3 4]
84,[2 3]
january,[2 4]
13,[2 3 4]
2018,[2]
judith,[2]
boss,[2 3]
christy,[2]
phillips,[2 4]
lynn,[2]
hanninen,[2]
meltzer,[2]
html,[2]
version,[2 3 4 5]
al,[2]
haines,[2]
corrections,[2]
menno,[2]
de,[2 3 4]
leeuw,[2]
1,[2 3 4 5]
2,[2 3 4 5]
4,[2 3 4 5]
5,[2 3 4 5]
6,[2 3 4 5]
7,[2 3 4 5]
9,[2 3 4 5]
10,[2 3 4]
14,[2 3 4]
15,[2 3 4]
16,[2 3 4]
18,[2 3 4]
19,[2 3 4]
20,[2 3 4 5]
21,[2 3 4]
22,[2 3 4]
23,[2 3 4]
24,[2 3 4]
_to,[2 3]
mrs,[2 4]
saville,[2]
england,[2 4]
st,[2 3 4]
petersburgh,[2]
dec,[2]
11th,[2]
rejoice,[2 3 4]
disaster,[2 3]
accompanied,[2 3 4]
commencement,[2 4]
enterprise,[2 3]
regarded,[2 3 4]
evil,[2 3 4]
forebodings,[2]
arrived,[2 4]
task,[2]
assure,[2 4 5]
welfare,[2 3 4]
increasing,[2 3 4 5]
confidence,[2 3 4]
success,[2 3 4]
undertaking,[2 3 4 5]
north,[2 3 4 5]
streets,[2 4]
northern,[2 4]
breeze,[2 3]
cheeks,[2 4]
braces,[2 3]
nerves,[2 4]
travelled,[2 4]
regions,[2 3]
advancing,[2 3]
gives,[2 3 4]
foretaste,[2]
icy,[2 3]
climes,[2]
inspirited,[2]
daydreams,[2]
fervent,[2 4]
vivid,[2 3]
vain,[2 3 4]
persuaded,[2 4]
pole,[2]
seat,[2 3 4]
frost,[2 3 4]
desolation,[2]
imagination,[2 4]
region,[2 3]
beauty,[2 4]
margaret,[2]
sun,[2 3 5]
visible,[2 3 4]
broad,[2 3 4]
disk,[2 3 4 5]
skirting,[2]
horizon,[2]
diffusing,[2]
perpetual,[2 4]
splendour,[2 4]
trust,[2 3 4 5]
preceding,[2 4]
navigators,[2]
snow,[2]
banished,[2 3 4]
sailing,[2 3]
calm,[2 4]
wafted,[2 3]
land,[2 3 4]
surpassing,[2 4]
wonders,[2 3 4]
hitherto,[2 3 4]
discovered,[2 3 4 5]
habitable,[2]
globe,[2]
productions,[2]
features,[2 4]
example,[2 4]
phenomena,[2]
heavenly,[2]
bodies,[2 3 4]
undoubtedly,[2 3 4 5]
undiscovered,[2]
solitudes,[2]
eternal,[2 3]
light,[2 3 4 5]
discover,[2 3 4 5]
wondrous,[2 3]
power,[2 3 4 5]
attracts,[2]
needle,[2]
regulate,[2 4]
celestial,[2]
observations,[2 4]
require,[2 3 4 5]
voyage,[2 3]
render,[2 3 4]
seeming,[2 4]
eccentricities,[2]
consistent,[2 3 4]
satiate,[2]
ardent,[2 3 4]
part,[2 3 4 5]
visited,[2 4]
tread,[2 3]
imprinted,[2]
enticements,[2]
sufficient,[2 3 4]
conquer,[2 3 4]
danger,[2 4 5]
induce,[2 4]
commence,[2]
laborious,[2]
joy,[2 3 4]
feels,[2 4]
embarks,[2]
boat,[2 3 5]
holiday,[2]
mates,[2 3]
expedition,[2]
discovery,[2 4]
native,[2 3]
river,[2 4]
supposing,[2 4]
conjectures,[2 3 4]
false,[2 4 5]
cannot,[2 3 4 5]
contest,[2 3]
inestimable,[2]
benefit,[2 4]
confer,[2]
mankind,[2 3 4]
generation,[2 4]
discovering,[2 4]
countries,[2 3 4 5]
months,[2 4 5]
requisite,[2 4]
ascertaining,[2 4]
secret,[2 3 4]
magnet,[2]
effected,[2]
reflections,[2 4]
dispelled,[2]
agitation,[2 4]
heart,[2 3 4 5]
glow,[2 4]
enthusiasm,[2]
elevates,[2]
heaven,[2 3 4]
contributes,[2]
tranquillise,[2]
purpose,[2 3 4 5]
point,[2 3 4]
soul,[2 3 4 5]
intellectual,[2 3 4 5]
early,[2 3 4]
years,[2 3 4 5]
ardour,[2]
voyages,[2]
prospect,[2 3 4]
arriving,[2 3 4]
pacific,[2]
ocean,[2 3]
seas,[2 3]
surround,[2]
purposes,[2 3]
composed,[2 4]
uncle,[2 3 4]
thomas,[2 3]
