token,docIds
pop,[1]
large,[1 2 3 4 5]
hedge,[1 3 4]
another,[1 2 3 4 5]
moment,[1 2 3 4 5]
went,[1 2 3 4 5]
how,[1 2 3 4 5]
again,[1 2 3 4 5]
straight,[1 2 3 5]
like,[1 2 3 4 5]
tunnel,[1]
some,[1 2 3 4 5]
dipped,[1]
about,[1 2 3 4 5]
stopping,[1 2 4]
herself,[1 2 4 5]
found,[1 2 3 4 5]
falling,[1 3 4]
deep,[1 2 3 4 5]
fell,[1 2 3 4]
slowly,[1 2 4 5]
plenty,[1 3 4]
look,[1 2 3 4 5]
wonder,[1 2 3 4 5]
going,[1 2 3 4 5]
happen,[1 2 3 4]
next,[1 2 3 4]
first,[1 2 3 4 5]
tried,[1 2 3 4 5]
make,[1 2 3 4 5]
coming,[1 2 3 4]
too,[1 2 3 4 5]
dark,[1 2 3 4 5]
anything,[1 2 3 4 5]
sides,[1 2 3 4]
noticed,[1 3 4 5]
they,[1 2 3 4 5]
were,[1 2 3 4 5]
filled,[1 2 3 4]
cupboards,[1]
shelves,[1 4]
here,[1 2 3 4 5]
saw,[1 2 3 4 5]
maps,[1]
hung,[1 2 3]
upon,[1 2 3 4 5]
pegs,[1]
took,[1 2 3 4 5]
jar,[1]
one,[1 2 3 4 5]
passed,[1 2 3 4]
labelled,[1]
orange,[1 5]
marmalade,[1]
great,[1 2 3 4 5]
disappointment,[1 2 4]
empty,[1 2 3 4 5]
drop,[1 2 3 4]
fear,[1 2 3 4]
killing,[1 3]
somebody,[1 4]
underneath,[1]
managed,[1 4]
put,[1 2 3 4 5]
past,[1 2 3 4]
such,[1 2 3 4 5]
fall,[1 2 3 4 5]
tumbling,[1]
stairs,[1 2 4 5]
brave,[1 3]
me,[1 2 3 4 5]
home,[1 2 3 4 5]
why,[1 2 3 4 5]
wouldn,[1 5]
t,[1 2 3 4 5]
even,[1 2 3 4 5]
off,[1 2 3 4 5]
top,[1 2 4 5]
house,[1 2 3 4 5]
which,[1 2 3 4 5]
likely,[1 3 4]
true,[1 2 3 4]
_never_,[1 4]
come,[1 2 3 4 5]
an,[1 2 3 4 5]
end,[1 2 3 4 5]
many,[1 2 3 4 5]
miles,[1 2 4 5]
ve,[1 2 3 5]
fallen,[1 2 3 4]
said,[1 2 3 4 5]
aloud,[1 2 4]
must,[1 2 3 4 5]
somewhere,[1 3 4]
near,[1 2 3 4 5]
centre,[1 5]
earth,[1 2 3 4]
let,[1 2 3 4 5]
four,[1 2 3 4]
thousand,[1 2 3 4]
learnt,[1 4]
several,[1 2 3 4 5]
things,[1 2 3 4 5]
sort,[1 4 5]
lessons,[1 2]
schoolroom,[1]
though,[1 3 4 5]
good,[1 2 3 4 5]
opportunity,[1 2 3 4 5]
showing,[1 4]
knowledge,[1 2 3 4]
listen,[1 2 4]
still,[1 2 3 4 5]
practice,[1 2 3 4]
yes,[1 2 4]
right,[1 2 3 4 5]
distance,[1 2 3 4 5]
latitude,[1 2]
longitude,[1]
got,[1 3 4 5]
idea,[1 2 3 4 5]
nice,[1 4 5]
grand,[1 2 3 4]
words,[1 2 3 4]
presently,[1 2 4]
began,[1 2 3 4 5]
_through_,[1]
funny,[1 5]
seem,[1 2 3 4 5]
among,[1 2 3 4]
people,[1 2 3 4 5]
walk,[1 2 4 5]
their,[1 2 3 4 5]
heads,[1 3 4 5]
downward,[1]
antipathies,[1]
rather,[1 2 3 4]
glad,[1 2 3 4 5]
_was_,[1 4]
listening,[1 2 4]
didn,[1 5]
sound,[1 2 3 4 5]
word,[1 2 3 4 5]
ask,[1 2 3 4 5]
them,[1 2 3 4 5]
name,[1 2 3 4 5]
know,[1 2 3 4 5]
please,[1 2 3 4 5]
ma,[1 4]
am,[1 2 3 4 5]
new,[1 2 3 4 5]
zealand,[1]
australia,[1]
curtsey,[1 4]
spoke,[1 2 3 4]
fancy,[1 2 4 5]
_curtseying_,[1]
through,[1 2 3 4 5]
air,[1 2 3 4 5]
manage,[1 3 4]
ignorant,[1 2 4]
girl,[1 2 4 5]
asking,[1 3 4 5]
perhaps,[1 2 3 4 5]
written,[1 2 3 4 5]
else,[1 2 3 4 5]
soon,[1 2 3 4 5]
talking,[1 2 4]
dinah,[1]
miss,[1 2 4]
night,[1 2 3 4 5]
should,[1 2 3 4 5]
cat,[1]
hope,[1 2 3 4 5]
remember,[1 2 3 4 5]
saucer,[1]
milk,[1]
my,[1 2 3 4 5]
wish,[1 2 3 4 5]
mice,[1]
m,[1 2 3 4 5]
afraid,[1 3 4 5]
might,[1 2 3 4 5]
catch,[1 4]
bat,[1 2]
mouse,[1]
cats,[1]
eat,[1 2 3 4 5]
bats,[1]
saying,[1 2 3 4]
dreamy,[1]
sometimes,[1 2 3 4 5]
couldn,[1 5]
answer,[1 2 3 4]
question,[1 2 3 4]
matter,[1 2 3 4 5]
felt,[1 2 3 4 5]
dozing,[1]
begun,[1 2 3 4]
dream,[1 2 5]
walking,[1 2 4 5]
hand,[1 2 3 4 5]
earnestly,[1 2 3 4]
now,[1 2 3 4 5]
tell,[1 2 3 4 5]
truth,[1 2 3 4]
ever,[1 2 3 4 5]
thump,[1]
came,[1 2 3 4 5]
heap,[1 3]
sticks,[1 5]
dry,[1 2]
leaves,[1 2 3 4]
bit,[1 3 4 5]
hurt,[1 3 4 5]
jumped,[1 2 4]
overhead,[1]
passage,[1 2 3 4]
sight,[1 2 3 4]
hurrying,[1 4]
lost,[1 2 4]
wind,[1 2 3 4 5]
turned,[1 2 3 4 5]
corner,[1 2 4 5]
ears,[1 2 3]
whiskers,[1]
behind,[1 2 3 4 5]
longer,[1 2 3 4]
low,[1 2 3 4 5]
hall,[1 2 3 4 5]
lit,[1]
row,[1]
lamps,[1]
hanging,[1 2 3 4 5]
roof,[1 3]
doors,[1 3 4]
round,[1 2 3 4 5]
locked,[1 3 5]
been,[1 2 3 4 5]
side,[1 2 3 4 5]
trying,[1 3 4 5]
every,[1 2 3 4 5]
door,[1 2 3 4 5]
walked,[1 2 3 4]
sadly,[1 3 4]
middle,[1 2 3 4 5]
wondering,[1 3 4]
three,[1 2 3 4 5]
legged,[1]
table,[1 2 3 4]
solid,[1 2 4]
glass,[1 4]
except,[1 2 3 4 5]
tiny,[1]
golden,[1 3]
key,[1 5]
belong,[1 3 4]
alas,[1 2 4]
locks,[1]
small,[1 2 3 4 5]
any,[1 2 3 4 5]
rate,[1 4]
open,[1 2 3 4 5]
however,[1 2 3 4 5]
second,[1 2 3 4 5]
curtain,[1 2]
fifteen,[1 2 3 4]
inches,[1 4]
high,[1 2 3 4 5]
lock,[1 2 4 5]
delight,[1 2 3 4]
fitted,[1 4]
opened,[1 2 3 4 5]
led,[1 2 3 4]
larger,[1 3 4]
than,[1 2 3 4 5]
rat,[1]
knelt,[1 2]
along,[1 2 3 4 5]
loveliest,[1 4]
garden,[1 2 4 5]
longed,[1 2 4]
wander,[1 3 4]
those,[1 2 3 4 5]
beds,[1 3 5]
bright,[1 2 3 4 5]
flowers,[1 2 5]
cool,[1 2 4]
fountains,[1]
head,[1 2 3 4 5]
doorway,[1 4]
go,[1 2 3 4 5]
poor,[1 2 3 4 5]
shoulders,[1 3 4]
shut,[1 2 4 5]
telescope,[1]
only,[1 2 3 4 5]
knew,[1 2 3 4 5]
begin,[1 2 4 5]
happened,[1 2 3 4]
lately,[1 2 3 4]
few,[1 2 3 4 5]
indeed,[1 2 3 4 5]
really,[1 2 4 5]
impossible,[1 2 4]
waiting,[1 2 3 4]
back,[1 2 3 4 5]
half,[1 2 3 4 5]
hoping,[1 2 4]
find,[1 2 3 4 5]
rules,[1 3 4 5]
shutting,[1 2]
telescopes,[1 2]
bottle,[1 4]
certainly,[1 2 3 4]
neck,[1 2 3 5]
paper,[1 2 3 4 5]
label,[1]
drink,[1 3 4]
beautifully,[1 3]
printed,[1 3 4 5]
letters,[1 2 3 4]
wise,[1 2 3 4 5]
_that_,[1 3 4]
hurry,[1 2 4]
marked,[1 2 3 4 5]
_poison_,[1]
read,[1 2 3 4 5]
histories,[1 4]
children,[1 2 3 4 5]
burnt,[1 2 3 4]
eaten,[1 3]
wild,[1 2 3 4]
beasts,[1 3]
unpleasant,[1 4]
because,[1 2 3 4 5]
_would_,[1 3 4]
simple,[1 2 3 4]
friends,[1 2 3 4 5]
taught,[1 2 4]
red,[1 4]
poker,[1]
will,[1 2 3 4 5]
burn,[1 3]
hold,[1 2 3 4 5]
cut,[1 3]
your,[1 2 3 4 5]
finger,[1 2 3]
deeply,[1 2 3 4]
knife,[1 3]
usually,[1 2 3 4]
bleeds,[1]
forgotten,[1 2 4]
poison,[1 3]
certain,[1 2 3 4 5]
disagree,[1 5]
sooner,[1 2 3 4]
later,[1 3 4]
_not_,[1 4]
ventured,[1 3 4]
taste,[1 2 4]
finding,[1 2 4]
fact,[1 2 3 4 5]
mixed,[1 4]
flavour,[1]
cherry,[1]
tart,[1]
custard,[1]
pine,[1]
apple,[1]
roast,[1]
turkey,[1]
toffee,[1]
buttered,[1]
toast,[1]
finished,[1 2 3 4 5]
curious,[1 3 4]
feeling,[1 2 4 5]
ten,[1 2 3 4]
face,[1 2 3 4 5]
brightened,[1 4]
size,[1 4]
lovely,[1 2 3 4 5]
waited,[1 2 4]
minutes,[1 2 4]
shrink,[1 4]
further,[1 2 3 4 5]
nervous,[1 2 4 5]
altogether,[1 2 4]
candle,[1 2 3]
flame,[1 3]
blown,[1 4]
thing,[1 2 3 4 5]
while,[1 2 3 4 5]
more,[1 2 3 4 5]
decided,[1 2 3 4]
possibly,[1 2 4 5]
reach,[1 2 3 4 5]
plainly,[1 2 3 4]
best,[1 2 3 4]
climb,[1 5]
legs,[1]
slippery,[1]
sat,[1 2 3 4 5]
cried,[1 2 4 5]
crying,[1 4 5]
sharply,[1]
advise,[1 2 4]
leave,[1 2 3 4 5]
minute,[1 2 4]
generally,[1 2 3 4]
gave,[1 2 3 4]
seldom,[1 2 3 4 5]
followed,[1 2 3 4]
scolded,[1 4]
severely,[1]
bring,[1 2 3 4 5]
remembered,[1 2 3 4]
box,[1 4 5]
cheated,[1]
game,[1 4]
playing,[1 2 4]
against,[1 2 3 4 5]
child,[1 2 3 4 5]
fond,[1 2 3 4 5]
pretending,[1 4]
two,[1 2 3 4 5]
pretend,[1 2 4]
hardly,[1 2 3 4 5]
enough,[1 2 3 4 5]
left,[1 2 3 4 5]
_one_,[1 4]
respectable,[1 2 4]
person,[1 2 3 4 5]
eye,[1 2 3 4 5]
lying,[1 2 3 4 5]
cake,[1 4]
currants,[1]
makes,[1 3 4 5]
grow,[1 2 3 4]
can,[1 2 3 4 5]
smaller,[1]
creep,[1 5]
don,[1 4 5]
care,[1 2 3 4 5]
happens,[1 3 4]
ate,[1 2 3 4]
anxiously,[1 3 4]
holding,[1 3 4]
growing,[1 4]
surprised,[1 2 3 4]
remained,[1 2 3 4]
same,[1 2 3 4 5]
sure,[1 2 3 4 5]
eats,[1]
expecting,[1 3 4]
dull,[1 2 4 5]
life,[1 2 3 4 5]
common,[1 2 3 4 5]
work,[1 2 3 4 5]
curiouser,[1]
forgot,[1 2 4 5]
speak,[1 2 3 4]
opening,[1 3 4]
largest,[1 3 4]
bye,[1 4]
far,[1 2 3 4 5]
shoes,[1 4]
stockings,[1 4]
dears,[1]
_i_,[1 3 4]
shan,[1 4 5]
able,[1 2 3 4 5]
deal,[1 2 3 4 5]
myself,[1 2 3 4 5]
kind,[1 2 3 4 5]
won,[1 2 3 4 5]
want,[1 2 3 4 5]
pair,[1 3 4]
boots,[1]
christmas,[1 4]
planning,[1 3 4]
carrier,[1]
sending,[1 3 4 5]
presents,[1 2 3 4]
odd,[1 4]
directions,[1 4]
_alice,[1]
foot,[1 2 3 4]
esq,[1 2 4]
hearthrug,[1]
fender,[1 4]
_,[1 2 3 4]
_with,[1 3]
love_,[1]
nonsense,[1 2 4]
struck,[1 3 4]
nine,[1 2 3 4]
hopeless,[1 2 3 4]
cry,[1 3 4 5]
ashamed,[1 2 3 4]
yourself,[1 2 4]
stop,[1 2 3 4]
shedding,[1 3]
gallons,[1]
until,[1 2 3 4 5]
reaching,[1 3 4 5]
heard,[1 2 3 4 5]
pattering,[1]
hastily,[1 2 3 4]
dried,[1]
returning,[1 2 3 4]
splendidly,[1]
dressed,[1 2 4]
kid,[1]
gloves,[1]
fan,[1 3]
he,[1 2 3 4 5]
trotting,[1]
muttering,[1]
himself,[1 2 3 4]
duchess,[1 4]
savage,[1 2 3 4]
kept,[1 2 3 4 5]
desperate,[1 3 4 5]
ready,[1 2 3 4 5]
help,[1 3 4 5]
timid,[1 3]
voice,[1 2 3 4 5]
sir,[1 2 4]
violently,[1 2 4]
dropped,[1 4]
skurried,[1]
darkness,[1 2 3]
hard,[1 2 3 4 5]
fanning,[1]
queer,[1 5]
everything,[1 2 3 4 5]
yesterday,[1 2 4]
usual,[1 2 3 4]
changed,[1 2 3 4 5]
morning,[1 2 3 4 5]
different,[1 2 3 4 5]
ah,[1 2 3 4]
_that,[1 3 4]
s_,[1 3 4]
puzzle,[1 4]
thinking,[1 2 4]
age,[1 2 3 4]
ada,[1]
hair,[1 2 3 4 5]
goes,[1 3 4 5]
ringlets,[1]
mine,[1 2 3 4 5]
doesn,[1]
mabel,[1]
sorts,[1 5]
knows,[1 2 3 4 5]
besides,[1 2 4 5]
_she,[1 3]
_i,[1 3]
m_,[1]
puzzling,[1 5]
try,[1 2 3 4 5]
used,[1 2 3 4 5]
